generation,population_size,mean_fitness,std_fitness,mean_jsd,deaths,births
0,10,0.41810492638437874,0.012959858965378821,0.2884575180378807,0,10
1,10,0.4209198052720229,0.006931869102127161,0.3205374656958998,0,10
2,10,0.4268412328750533,0.008974502126004409,0.307826182024528,0,10
3,10,0.42148146094792927,0.0030721502231114695,0.21892649813256276,0,10
4,10,0.4205598171047873,0.005298605519873957,0.3027208001620552,0,10
5,10,0.4183452529048132,0.00252863678662257,0.2412636769640692,0,10
6,10,0.4235457594177577,0.010670973803636742,0.17288560009065415,0,10
7,10,0.4286798151168042,0.013481982303167293,0.35064862604055086,0,10
8,10,0.4373129722035496,0.011314754670568743,0.3522114871065964,0,10
9,10,0.45025638350274166,0.004659016618753522,0.4210968492710541,0,10
10,10,0.4496549274251277,0.0036303560385671837,0.3619709877279069,0,10
11,10,0.4525317997774871,0.003574485272565163,0.26746283943847676,0,10
12,10,0.45033980926322253,0.0029910767937585724,0.3231891623484486,0,10
13,10,0.450885565369567,0.002379128959644408,0.25521518274835686,0,10
14,10,0.45232255938571636,0.0036889202888128092,0.24733753383369977,0,10
15,10,0.4484971592624188,0.0021650508179902202,0.2797524501395011,0,10
16,10,0.4515843732874162,0.0036168710712104674,0.3349776152733005,0,10
17,10,0.4511250788600817,0.0029240945776673032,0.28261748650386465,0,10
18,10,0.4500580388493237,0.001643253321772469,0.3282792652563736,0,10
19,10,0.4525012609998503,0.001763976288294112,0.33635283705867075,0,10
20,10,0.45432120565770495,0.0022652715921937174,0.34348244161621166,0,10
21,10,0.4532350900457008,0.0028561466028862088,0.4531839757877357,0,10
22,10,0.4541258577958784,0.0016369159720746812,0.3855548263086667,0,10
23,10,0.4556351000913681,0.0017622489686380447,0.3578685652790268,0,10
24,10,0.4529676704581993,0.0018875620335718542,0.4022820753907574,0,10
25,10,0.4533379020720445,0.003083796825203271,0.34265302078528515,0,10
26,10,0.45604835869500004,0.002584389052727228,0.38152627873486333,0,10
27,10,0.4547409471504066,0.0010387892172976027,0.3834496077299022,0,10
28,10,0.45238341342530825,0.0026353964885184474,0.3965650887916593,0,10
29,10,0.4528990990188227,0.0026179569115486966,0.3730472002523872,0,10
30,10,0.4551533722197997,0.0032775961244648757,0.31018287508145975,0,10
31,10,0.4558128488166814,0.0027223156939069925,0.3548037807514136,0,10
32,10,0.4535500029252647,0.0024651726859132336,0.3477795139676671,0,10
33,10,0.4538178765593754,0.0024836461315204195,0.2834646705979024,0,10
34,10,0.45530302492603514,0.0023267025622996777,0.2732329990435097,0,10
