generation,agent_id,parent_id,fitness,h_x,c_x,i_x_seed,h_dezorg
0,base_gen00_006,,0.4079169896235456,6.797352062323567,0.5018867924528302,0.9061260659263219,0.978560405377322
0,base_gen00_007,,0.4325147447286827,6.795173876528029,0.5373635600335852,0.9099502485641591,0.9183472378173625
0,base_gen00_008,,0.4182801714485334,6.797513780569263,0.5148594377510041,0.9106938708867622,0.9576229766007446
0,base_gen00_010,base_gen00_002,0.44250346808040164,6.6251301695882505,0.4613702623906705,0.9999999999999998,0.979538053183997
0,base_gen00_011,base_gen00_000,0.4304207086370678,6.800518053394953,0.5203836930455635,0.9100458260965988,0.9035865616245033
0,base_gen00_012,base_gen00_008,0.40418269506801807,6.667809971008013,0.46545454545454545,0.920749603808076,0.9791423523619182
0,base_gen00_016,base_gen00_009,0.40418269506801807,6.667809971008013,0.46545454545454545,0.920749603808076,0.9791423523619182
0,base_gen00_017,base_gen00_016,0.41815361955227986,6.738369732672011,0.5003885003885004,0.9066409643811862,0.9264170637743165
0,base_gen00_018,base_gen00_005,0.4029373449009845,6.792353211353361,0.4727540500736377,0.9144727572729038,0.9806262437877935
0,base_gen00_019,base_gen00_008,0.41995682673625623,6.756682182059206,0.5286984640258691,0.9046011531445322,0.9547664452188526
1,base_gen00_006,base_gen00_006,0.4167247719624899,6.8105288484860464,0.5134069400630915,0.9152299698334058,0.9745614748657023
1,base_gen00_007,base_gen00_007,0.42520884934102554,6.748627400090665,0.5104333868378812,0.9174754713151618,0.9332945118395984
1,base_gen00_010,base_gen00_010,0.4191991114085436,6.7924737201635494,0.509478672985782,0.9118788927181664,0.947919684231371
1,base_gen00_017,base_gen00_017,0.4193214443507138,6.75548083516992,0.5019334880123744,0.9080496214037297,0.9264170637743165
1,base_gen01_020,base_gen00_010,0.4174296789149544,6.77857050411117,0.5034377387318564,0.9064081135173792,0.9340284973164603
1,base_gen01_021,base_gen00_017,0.41995682673625623,6.756682182059206,0.5286984640258691,0.9046011531445322,0.9547664452188526
1,base_gen01_023,base_gen00_008,0.4174296789149544,6.77857050411117,0.5034377387318564,0.9064081135173792,0.9340284973164603
1,base_gen01_027,base_gen00_012,0.4262174614386016,6.799567364394916,0.49776785714285715,0.9367126147291446,0.9573460153441394
1,base_gen01_028,base_gen00_018,0.41028286727602864,6.789871811103482,0.5054517133956387,0.9055089423311556,0.970535589541204
1,base_gen01_029,base_gen01_028,0.43742736237666013,6.859808359903646,0.5343698854337152,0.9202782186366244,0.915113562858833
2,base_gen00_007,base_gen00_007,0.4262174614386016,6.799567364394916,0.49776785714285715,0.9367126147291446,0.9573460153441394
2,base_gen00_010,base_gen00_010,0.4470991966364173,6.812149263591066,0.5462328767123288,0.9205236806879307,0.8851625336062334
2,base_gen00_017,base_gen00_017,0.42442410554159427,6.822875148437589,0.5355648535564853,0.9122172977318077,0.9617699969562757
2,base_gen01_021,base_gen01_021,0.42442410554159427,6.822875148437589,0.5355648535564853,0.9122172977318077,0.9617699969562757
2,base_gen01_023,base_gen01_023,0.4326183734276853,6.763069247994545,0.5338842975206611,0.9123430629778956,0.9185922365873037
2,base_gen02_030,base_gen01_023,0.4362984840004761,6.660551481237901,0.5259259259259259,0.9015508765783157,0.8612736603322975
2,base_gen02_032,base_gen01_021,0.4177323337047507,6.797221440302943,0.514446227929374,0.9103934063922811,0.95899118935101
2,base_gen02_033,base_gen01_029,0.42442410554159427,6.822875148437589,0.5355648535564853,0.9122172977318077,0.9617699969562757
2,base_gen02_034,base_gen02_032,0.4177444840028641,6.815683181855826,0.5229283990345938,0.9121858860866129,0.976134893754102
2,base_gen02_038,base_gen02_030,0.4174296789149544,6.77857050411117,0.5034377387318564,0.9064081135173792,0.9340284973164603
3,base_gen00_017,base_gen00_017,0.42442410554159427,6.822875148437589,0.5355648535564853,0.9122172977318077,0.9617699969562757
3,base_gen01_021,base_gen01_021,0.4229744408372462,6.873987102852616,0.5276663993584603,0.9141645538974057,0.9620387795949737
3,base_gen02_030,base_gen02_030,0.42382331439155635,6.834963639406752,0.5350584307178631,0.9108735672322275,0.9606549921995813
3,base_gen02_034,base_gen02_034,0.42382331439155635,6.834963639406752,0.5350584307178631,0.9108735672322275,0.9606549921995813
3,base_gen02_038,base_gen02_038,0.42442410554159427,6.822875148437589,0.5355648535564853,0.9122172977318077,0.9617699969562757
3,base_gen03_040,base_gen02_034,0.4204285897419465,6.862214849862751,0.5281803542673108,0.9098607162975771,0.9647793734351767
3,base_gen03_043,base_gen02_034,0.4213364433312629,6.857867023507889,0.532617671345995,0.9113144636219238,0.9705304494174873
3,base_gen03_045,base_gen03_040,0.4213364433312629,6.857867023507889,0.532617671345995,0.9113144636219238,0.9705304494174873
3,base_gen03_048,base_gen03_047,0.4144993683684082,6.774211631436881,0.5111111111111111,0.9085034934455516,0.9654285584385044
3,base_gen03_049,base_gen02_032,0.4177444840028641,6.815683181855826,0.5229283990345938,0.9121858860866129,0.976134893754102
4,base_gen02_030,base_gen02_030,0.4144993683684082,6.774211631436881,0.5111111111111111,0.9085034934455516,0.9654285584385044
4,base_gen03_043,base_gen03_043,0.4139724622305757,6.774123466813962,0.5107057890563045,0.9082238431670449,0.9667559803491903
4,base_gen03_045,base_gen03_045,0.42021091448825026,6.797221440302944,0.5162827640984908,0.9122678817046656,0.9540392779681486
4,base_gen03_048,base_gen03_048,0.4284259464208634,6.820186751336926,0.5483870967741935,0.9122758923114863,0.9611406438356888
